sheet_name,business_scope,source_column,target_table,target_field,confidence_level,ignore,notes
Tracker,COMMISSION_PAYOUT_TRACKER,Taxable Amount,TRN_Commission,gross_commission_amount,Medium,False,Tracker payout gross amount
Tracker,COMMISSION_PAYOUT_TRACKER,Bill Status,TRN_Commission,payment_status,Medium,False,Tracker payout status
Tracker,COMMISSION_PAYOUT_TRACKER,Receive date,TRN_Commission,commission_date,Medium,False,Tracker commission lifecycle date
Tracker,COMMISSION_PAYOUT_TRACKER,Case wise P&L,TRN_Commission,gross_commission_amount,Medium,False,Tracker payout gross amount
Tracker,COMMISSION_PAYOUT_TRACKER,Payout %,RUL_CommissionRule,headline_percent,Medium,False,Tracker payout percentage
Tracker,COMMISSION_PAYOUT_TRACKER,Remarks,TRN_Commission,notes,Medium,False,Tracker payout notes
Tracker,COMMISSION_PAYOUT_TRACKER,Payment Approval,TRN_Commission,payment_status,Medium,False,Tracker payout status
Tracker,COMMISSION_PAYOUT_TRACKER,Approval Date 1,TRN_Commission,commission_date,Medium,False,Tracker commission lifecycle date
Tracker,COMMISSION_PAYOUT_TRACKER,Approval Date 2,TRN_Commission,commission_date,Medium,False,Tracker commission lifecycle date
Tracker,COMMISSION_PAYOUT_TRACKER,Unnamed: 44,,,None,True,Unnamed helper column
Tracker,COMMISSION_PAYOUT_TRACKER,Payment Request Date C-1,TRN_Payment,payment_date,Medium,False,Tracker payout date
Tracker,COMMISSION_PAYOUT_TRACKER,Percentage Formula,RUL_CommissionRule,headline_percent,Medium,False,Tracker payout percentage
Tracker,COMMISSION_PAYOUT_TRACKER,Advance/Recovery,TRN_Commission,notes,Medium,False,Tracker payout notes
Tracker,COMMISSION_PAYOUT_TRACKER,PAYMENT AMT,TRN_Payment,payment_amount,Medium,False,Tracker payout payment amount
Tracker,COMMISSION_PAYOUT_TRACKER,TDS@2%,TRN_Commission,tds_amount,Medium,False,Tracker payout TDS
Tracker,COMMISSION_PAYOUT_TRACKER,FINAL PAYABLE AMT,TRN_Payment,payment_amount,Medium,False,Tracker payout payment amount
Tracker,COMMISSION_PAYOUT_TRACKER,Connector Name -1,MST_Connector,full_name,High,False,Tracker context connector lookup
Tracker,COMMISSION_PAYOUT_TRACKER,C-1 UTR,TRN_Payment,utr_number,High,False,Tracker payout UTR
Tracker,COMMISSION_PAYOUT_TRACKER,Payment Request Date C-2,TRN_Payment,payment_date,Medium,False,Tracker payout date
Tracker,COMMISSION_PAYOUT_TRACKER,Bank,MST_Connector,bank_name,High,False,Alias match with 'bank_name'
Tracker,COMMISSION_PAYOUT_TRACKER,Account No,MST_Connector,account_number,High,False,Alias match with 'account_number'
Tracker,COMMISSION_PAYOUT_TRACKER,IFSC Code,MST_Connector,ifsc,High,False,Alias match with 'ifsc'
Tracker,COMMISSION_PAYOUT_TRACKER,Connector 2 PAYMENT DATE,TRN_Payment,payment_date,Medium,False,Tracker payout date
Tracker,COMMISSION_PAYOUT_TRACKER,FORMULA PERCENTAGE,RUL_CommissionRule,headline_percent,Medium,False,Tracker payout percentage
Tracker,COMMISSION_PAYOUT_TRACKER,Connector 2 PAYMENT AMT,TRN_Payment,payment_amount,Medium,False,Tracker payout payment amount
Tracker,COMMISSION_PAYOUT_TRACKER,Connector 2 TDS@2%,TRN_Commission,tds_amount,Medium,False,Tracker payout TDS
Tracker,COMMISSION_PAYOUT_TRACKER,Connector 2 FINAL PAYABLE AMT,TRN_Payment,payment_amount,Medium,False,Tracker payout payment amount
Tracker,COMMISSION_PAYOUT_TRACKER,Connector 2 Name,MST_Connector,full_name,High,False,Tracker context connector lookup
Tracker,COMMISSION_PAYOUT_TRACKER,C-2 UTR,TRN_Payment,utr_number,High,False,Tracker payout UTR
Tracker,COMMISSION_PAYOUT_TRACKER,Payment Request Date C-2.1,TRN_Payment,payment_date,Medium,False,Tracker payout date
Tracker,COMMISSION_PAYOUT_TRACKER,Bank.1,MST_Connector,bank_name,High,False,Alias match with 'bank_name'
Tracker,COMMISSION_PAYOUT_TRACKER,Account No.1,MST_Connector,account_number,High,False,Alias match with 'account_number'
Tracker,COMMISSION_PAYOUT_TRACKER,IFSC Code.1,MST_Connector,ifsc,High,False,Alias match with 'ifsc'
Tracker,COMMISSION_PAYOUT_TRACKER,PAID TO UNIT HEAD,TRN_Commission,payment_status,Medium,False,Tracker payout status
Tracker,COMMISSION_PAYOUT_TRACKER,Payee Name (UH),MST_Employee,full_name,High,False,Tracker employee reference
Tracker,COMMISSION_PAYOUT_TRACKER,PAYMENT DATE,TRN_Payment,payment_date,Medium,False,Tracker payout date
Tracker,COMMISSION_PAYOUT_TRACKER,PAYMENT AMT.1,TRN_Payment,payment_amount,Medium,False,Tracker payout payment amount
Tracker,COMMISSION_PAYOUT_TRACKER,TDS@2%.1,TRN_Commission,tds_amount,Medium,False,Tracker payout TDS
Tracker,COMMISSION_PAYOUT_TRACKER,FINAL PAYABLE AMT.1,TRN_Payment,payment_amount,Medium,False,Tracker payout payment amount
Tracker,COMMISSION_PAYOUT_TRACKER,PAID TO SM,TRN_Commission,payment_status,Medium,False,Tracker payout status
Tracker,COMMISSION_PAYOUT_TRACKER,PAYMENT DATE.1,TRN_Payment,payment_date,Medium,False,Tracker payout date
Tracker,COMMISSION_PAYOUT_TRACKER,PAYMENT AMT.2,TRN_Payment,payment_amount,Medium,False,Tracker payout payment amount
Tracker,COMMISSION_PAYOUT_TRACKER,TDS@2%.2,TRN_Commission,tds_amount,Medium,False,Tracker payout TDS
Tracker,COMMISSION_PAYOUT_TRACKER,FINAL PAYABLE AMT.2,TRN_Payment,payment_amount,Medium,False,Tracker payout payment amount
Bank Account Master,CONNECTOR_BANK_MASTER,Connector Code,MST_Connector,connector_code,High,False,Connector bank master context
Bank Account Master,CONNECTOR_BANK_MASTER,Connector Name,MST_Connector,full_name,High,False,Connector bank master context
Bank Account Master,CONNECTOR_BANK_MASTER,Connector PAN,MST_Connector,pan,High,False,Connector bank master context
Bank Account Master,CONNECTOR_BANK_MASTER,Connector Bank,MST_Connector,bank_name,High,False,Connector bank master context
Bank Account Master,CONNECTOR_BANK_MASTER,Connector Account No,MST_Connector,account_number,High,False,Connector bank master context
Bank Account Master,CONNECTOR_BANK_MASTER,Connector IFSC CODE,MST_Connector,ifsc,High,False,Connector bank master context
Bank Account Master,CONNECTOR_BANK_MASTER,Unit Head,MST_Employee,full_name,High,False,Employee reference in connector master context
Bank Account Master,CONNECTOR_BANK_MASTER,GST,MST_Connector,gstin,High,False,Connector GST context
Bank Account Master,CONNECTOR_BANK_MASTER,Unnamed: 8,,,None,True,Unnamed helper column
